0|0|0
0.001001|0.009959|0.009959
0.002002|0.019819|0.019819
0.003003|0.029581|0.029581
0.004004|0.039245|0.039245
0.005005|0.048814|0.048813
0.006006|0.058287|0.058286
0.007007|0.067665|0.067665
0.008008|0.076950|0.076950
0.009009|0.086143|0.086143
0.010010|0.095244|0.095244
0.011011|0.104254|0.104254
0.012012|0.113175|0.113175
0.013013|0.122007|0.122007
0.014014|0.130751|0.130750
0.015015|0.139408|0.139407
0.016016|0.147978|0.147978
0.017017|0.156463|0.156463
0.018018|0.164864|0.164863
0.019019|0.173181|0.173180
0.020020|0.181415|0.181414
0.021021|0.189567|0.189566
0.022022|0.197638|0.197637
0.023023|0.205628|0.205628
0.024024|0.213539|0.213539
0.025025|0.221371|0.221371
0.026026|0.229125|0.229125
0.027027|0.236802|0.236801
0.028028|0.244402|0.244402
0.029029|0.251927|0.251926
0.030030|0.259377|0.259376
0.031031|0.266752|0.266751
0.032032|0.274054|0.274053
0.033033|0.281283|0.281282
0.034034|0.288440|0.288440
0.035035|0.295526|0.295526
0.036036|0.302542|0.302541
0.037037|0.309487|0.309486
0.038038|0.316363|0.316363
0.039039|0.323171|0.323170
0.040040|0.329911|0.329910
0.041041|0.336584|0.336583
0.042042|0.343190|0.343189
0.043043|0.349731|0.349730
0.044044|0.356206|0.356205
0.045045|0.362617|0.362616
0.046046|0.368964|0.368963
0.047047|0.375247|0.375247
0.048048|0.381469|0.381468
0.049049|0.387628|0.387627
0.050050|0.393725|0.393725
0.051051|0.399763|0.399762
0.052052|0.405739|0.405739
0.053053|0.411657|0.411656
0.054054|0.417515|0.417514
0.055055|0.423315|0.423314
0.056056|0.429057|0.429057
0.057057|0.434742|0.434742
0.058058|0.440371|0.440370
0.059059|0.445943|0.445942
0.060060|0.451460|0.451459
0.061061|0.456922|0.456921
0.062062|0.462329|0.462328
0.063063|0.467683|0.467682
0.064064|0.472983|0.472982
0.065065|0.478230|0.478230
0.066066|0.483426|0.483425
0.067067|0.488569|0.488568
0.068068|0.493661|0.493660
0.069069|0.498702|0.498702
0.070070|0.503694|0.503693
0.071071|0.508635|0.508634
0.072072|0.513527|0.513526
0.073073|0.518371|0.518370
0.074074|0.523166|0.523165
0.075075|0.527913|0.527912
0.076076|0.532613|0.532613
0.077077|0.537267|0.537266
0.078078|0.541873|0.541873
0.079079|0.546434|0.546434
0.080080|0.550950|0.550949
0.081081|0.555421|0.555420
0.082082|0.559847|0.559846
0.083083|0.564228|0.564228
0.084084|0.568567|0.568566
0.085085|0.572862|0.572861
0.086086|0.577114|0.577113
0.087087|0.581324|0.581323
0.088088|0.585492|0.585491
0.089089|0.589618|0.589617
0.090090|0.593703|0.593703
0.091091|0.597748|0.597747
0.092092|0.601752|0.601751
0.093093|0.605716|0.605716
0.094094|0.609641|0.609640
0.095095|0.613527|0.613526
0.096096|0.617374|0.617373
0.097097|0.621182|0.621182
0.098098|0.624953|0.624952
0.099099|0.628686|0.628685
0.100100|0.632382|0.632381
0.101101|0.636041|0.636040
0.102102|0.639663|0.639663
0.103103|0.643250|0.643249
0.104104|0.646801|0.646800
0.105105|0.650316|0.650315
0.106106|0.653796|0.653796
0.107107|0.657242|0.657241
0.108108|0.660653|0.660653
0.109109|0.664030|0.664030
0.110110|0.667374|0.667373
0.111111|0.670684|0.670684
0.112112|0.673961|0.673961
0.113113|0.677206|0.677206
0.114114|0.680418|0.680418
0.115115|0.683598|0.683598
0.116116|0.686747|0.686747
0.117117|0.689864|0.689864
0.118118|0.692950|0.692950
0.119119|0.696005|0.696005
0.120120|0.699030|0.699030
0.121121|0.702025|0.702025
0.122122|0.704990|0.704989
0.123123|0.707925|0.707925
0.124124|0.710831|0.710831
0.125125|0.713708|0.713708
0.126126|0.716556|0.716556
0.127127|0.719376|0.719376
0.128128|0.722168|0.722168
0.129129|0.724932|0.724932
0.130130|0.727668|0.727668
0.131131|0.730377|0.730377
0.132132|0.733059|0.733059
0.133133|0.735715|0.735715
0.134134|0.738344|0.738344
0.135135|0.740946|0.740946
0.136136|0.743523|0.743523
0.137137|0.746074|0.746074
0.138138|0.748599|0.748600
0.139139|0.751100|0.751100
0.140140|0.753575|0.753575
0.141141|0.756026|0.756026
0.142142|0.758452|0.758453
0.143143|0.760854|0.760855
0.144144|0.763232|0.763233
0.145145|0.765587|0.765587
0.146146|0.767918|0.767918
0.147147|0.770225|0.770226
0.148148|0.772510|0.772510
0.149149|0.774772|0.774772
0.150150|0.777011|0.777011
0.151151|0.779228|0.779228
0.152152|0.781423|0.781423
0.153153|0.783596|0.783596
0.154154|0.785747|0.785747
0.155155|0.787876|0.787877
0.156156|0.789985|0.789986
0.157157|0.792072|0.792073
0.158158|0.794139|0.794140
0.159159|0.796185|0.796186
0.160160|0.798211|0.798211
0.161161|0.800216|0.800217
0.162162|0.802201|0.802202
0.163163|0.804167|0.804168
0.164164|0.806113|0.806113
0.165165|0.808039|0.808040
0.166166|0.809946|0.809947
0.167167|0.811834|0.811835
0.168168|0.813704|0.813705
0.169169|0.815554|0.815555
0.170170|0.817386|0.817388
0.171171|0.819200|0.819201
0.172172|0.820996|0.820997
0.173173|0.822774|0.822775
0.174174|0.824534|0.824535
0.175175|0.826276|0.826278
0.176176|0.828001|0.828003
0.177177|0.829709|0.829711
0.178178|0.831400|0.831401
0.179179|0.833074|0.833075
0.180180|0.834731|0.834732
0.181181|0.836372|0.836373
0.182182|0.837996|0.837997
0.183183|0.839604|0.839605
0.184184|0.841196|0.841197
0.185185|0.842772|0.842773
0.186186|0.844332|0.844333
